       (NOTAS)  Per�odo: 01/01/2026 at� 16/03/2026   Gera��o: 16/03/2026 10:56:26
 
Cli_For;Canc;Filial;Comp;Numero;Inclusao;Emissao;Ent/Saida;OP Fiscal;C�digo;Cliente/Fornecedor;CNPJ;CPF;UF;Total Bruto;Total Desconto;Frete;Total Despesa;Total Nota;BC Icms;Valor Icms;BC ST;Valor ST;BC Ipi;Valor Ipi;Valor IPI Devolvido;BC Pis/Cofins;Valor Pis;Valor Cofins;Valor FCP;BC FCP;Valor FCP ST;BC FCP ST;BC FCP ST Retido;Valor ST Retido;BC ST Retido;Valor FCP ST Retido;BC ICMS Efetivo;Valor ICMS Efetivo;Valor ICMS Substituto;Chave NF-e;Chave CTE;Num Documento
C;N;00;001;001014;28/01/2026;28/01/2026;30/12/1899;S;000183;UNIONCO;41090440/0001-64;00000000000;PE;1.326,00000;,00000;,00000;,00000;1.326,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010141087493660;;
C;N;00;001;001015;28/01/2026;28/01/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;30.000,00000;,00000;,00000;,00000;30.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010151335108262;;
F;N;00;010;279526;29/01/2026;27/01/2026;29/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;12.752,69000;892,69000;,00000;,00000;11.860,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2795265
F;N;00;010;279528;29/01/2026;27/01/2026;29/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;14.623,66000;1.023,66000;,00000;,00000;13.600,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;002795281
C;N;00;001;001016;29/01/2026;29/01/2026;30/12/1899;S;000046;HOSPITAL E CLINICA FERREIRA CAVALC;07549453/0001-10;00000000000;SE;1.700,00000;,00000;,00000;,00000;1.700,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010161942912002;;
C;N;00;001;001017;29/01/2026;29/01/2026;30/12/1899;S;000679;LIGA MOSSOROENSE DE ESTUDOS E COMBATE;04026039/0002-10;00000000000;RN;11.450,77000;,00000;,00000;,00000;11.450,77000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010171123615548;;
C;N;00;001;001018;29/01/2026;29/01/2026;30/12/1899;S;000271;HOSPITAL SAMUR;16205262/0001-22;00000000000;BA;4.960,00000;,00000;,00000;,00000;4.960,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010181399459475;;
F;N;00;010;279612;30/01/2026;28/01/2026;30/01/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;26.509,68000;469,68000;,00000;,00000;26.040,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2796129
F;N;00;010;250590;30/01/2026;30/01/2026;30/01/2026;E;000045;UNI HOSPITALAR LTDA;07484373/0001-24;;PE;3.784,00000;,00000;,00000;,00000;3.784,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;001019;30/01/2026;30/01/2026;30/12/1899;S;000136;SUPORTE NUTRICIONAL E QUIMIOTERAPIA;01873957/0003-77;00000000000;CE;6.000,00000;,00000;,00000;,00000;6.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010191453565727;;
C;N;00;001;001020;30/01/2026;30/01/2026;30/12/1899;S;000107;CLINICA DE ONCO DE CAMPINA GRANDE;04392985/0001-07;00000000000;PB;3.860,00000;,00000;,00000;,00000;3.860,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010201296106730;;
C;N;00;001;001021;30/01/2026;30/01/2026;30/12/1899;S;000109;CLINICA ONCO BEM LTDA;12097006/0001-08;00000000000;PI;12.000,00000;,00000;,00000;,00000;12.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010211026003153;;
C;N;00;001;001022;30/01/2026;30/01/2026;30/01/2026;S;000609;UNIMED JOAO PESSOA COOPERATIVA DO TRABAL;08680639/0006-81;00000000000;PB;3.150,00000;,00000;,00000;,00000;3.150,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260129094796000170550010000010221586929482;;
F;N;00;010;279262;02/02/2026;16/01/2026;02/02/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;9.919,36000;379,36000;,00000;,00000;9.540,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2792620
F;N;00;010;279440;02/02/2026;16/01/2026;02/02/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;11.940,00000;,00000;,00000;,00000;11.940,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2794405
C;N;00;001;001024;02/02/2026;02/02/2026;30/12/1899;S;000027;HOSPITAL WILSON ROSADO;35650324/0001-50;00000000000;RN;5.979,00000;,00000;,00000;,00000;5.979,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010241034457783;;
C;N;00;001;001025;03/02/2026;03/02/2026;30/12/1899;S;000696;DUARTE & FERREIRA COMERCIO DE MEDICAMENT;07547758/0001-93;00000000000;PA;1.228,00000;,00000;,00000;,00000;1.228,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010251784088188;;
C;N;00;001;001026;03/02/2026;03/02/2026;30/12/1899;S;000056;LIGA NORTE RIOGRANDENSE CONTRA O CA;08428765/0002-10;00000000000;RN;16.800,00000;,00000;,00000;,00000;16.800,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010261115587690;;
C;N;00;001;001027;03/02/2026;03/02/2026;30/12/1899;S;000027;HOSPITAL WILSON ROSADO;35650324/0001-50;00000000000;RN;5.445,70000;,00000;,00000;,00000;5.445,70000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010271898929798;;
F;N;00;010;279780;04/02/2026;03/02/2026;04/02/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;21.700,00000;,00000;,00000;,00000;21.700,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2797805
F;N;00;010;279834;04/02/2026;04/02/2026;04/02/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;90.000,00000;,00000;,00000;,00000;90.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2798347
C;N;00;001;001028;04/02/2026;04/02/2026;30/12/1899;S;000138;PROMEDICA PATRIMONIAL S/A PROPAT;13808803/0001-19;00000000000;BA;6.000,00000;,00000;,00000;,00000;6.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010281554176745;;
C;N;00;001;001029;04/02/2026;04/02/2026;30/12/1899;S;000660;HOSPITAL NUCLEO VIDA;30360657/0001-20;00000000000;BA;6.806,82000;816,82000;,00000;,00000;5.990,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010291323241662;;
C;N;00;001;001031;04/02/2026;04/02/2026;30/12/1899;S;000069;UNIKA DISTRIBUIDORA DE MEDICAMENTOS CE;38412948/0001-27;00000000000;CE;11.704,54000;1.404,54000;,00000;,00000;10.300,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010311524594765;;
C;N;00;001;001032;04/02/2026;04/02/2026;30/12/1899;S;000056;LIGA NORTE RIOGRANDENSE CONTRA O CA;08428765/0002-10;00000000000;RN;85.200,00000;,00000;,00000;,00000;85.200,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010321184861824;;
C;N;00;001;001033;05/02/2026;05/02/2026;30/12/1899;S;000651;CION CENTRO INTEGRADO DE ONCOLOGIA;04234637/0001-01;00000000000;PA;5.036,60000;,00000;,00000;,00000;5.036,60000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010331583683641;;
C;N;00;001;001034;05/02/2026;05/02/2026;30/12/1899;S;000660;HOSPITAL NUCLEO VIDA;30360657/0001-20;00000000000;BA;4.602,27000;552,27000;,00000;,00000;4.050,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010341659472554;;
C;N;00;001;001035;05/02/2026;05/02/2026;30/12/1899;S;000660;HOSPITAL NUCLEO VIDA;30360657/0001-20;00000000000;BA;6.806,82000;816,82000;,00000;,00000;5.990,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010351245512427;;
F;N;00;010;279832;06/02/2026;04/02/2026;06/02/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;8.400,00000;,00000;,00000;,00000;8.400,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2798329
F;N;00;010;279850;06/02/2026;04/02/2026;06/02/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;8.160,00000;,00000;,00000;,00000;8.160,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2798508
C;N;00;001;001036;06/02/2026;06/02/2026;30/12/1899;S;000056;LIGA NORTE RIOGRANDENSE CONTRA O CA;08428765/0002-10;00000000000;RN;3.150,00000;,00000;,00000;,00000;3.150,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010361686495068;;
C;N;00;001;001037;06/02/2026;06/02/2026;30/12/1899;S;000108;CLINICA DE ONCOLOGIA E MASTOLOGIA;10730521/0001-58;00000000000;RN;1.440,00000;,00000;,00000;,00000;1.440,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010371066725692;;
C;N;00;001;001038;06/02/2026;06/02/2026;30/12/1899;S;000046;HOSPITAL E CLINICA FERREIRA CAVALC;07549453/0001-10;00000000000;SE;2.000,00000;,00000;,00000;,00000;2.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010381024513066;;
C;N;00;001;001039;06/02/2026;06/02/2026;30/12/1899;S;000027;HOSPITAL WILSON ROSADO;35650324/0001-50;00000000000;RN;6.764,00000;,00000;,00000;,00000;6.764,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010391962482133;;
C;N;00;001;001040;06/02/2026;06/02/2026;30/12/1899;S;000016;HOSPITAL SAO RAFAEL LTDA;06413934/0001-31;00000000000;MA;8.518,00000;,00000;,00000;,00000;8.518,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010401981349436;;
C;N;00;001;001041;06/02/2026;06/02/2026;30/12/1899;S;000241;HOSPITAL RIO DOCE;27836329/0001-43;00000000000;ES;3.588,00000;,00000;,00000;,00000;3.588,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010411097393139;;
C;N;00;001;001042;06/02/2026;06/02/2026;30/12/1899;S;000229;IMIP;10988301/0001-29;00000000000;PE;2.558,00000;,00000;,00000;,00000;2.558,00000;838,00000;171,79000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010421760087085;;
C;N;00;001;001043;09/02/2026;09/02/2026;30/12/1899;S;000062;NOA - NUCLEO DE ONCO DO AGRESTE LTDA;18000662/0001-27;00000000000;PE;2.400,00000;,00000;,00000;,00000;2.400,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010431603937771;;
C;N;00;001;001044;09/02/2026;09/02/2026;30/12/1899;S;000148;NATAL HOSPITAL CENTER S.A.;02109397/0001-80;00000000000;RN;15.558,50000;,00000;,00000;,00000;15.558,50000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010441112240484;;
C;N;00;001;001045;09/02/2026;09/02/2026;30/12/1899;S;000054;HOSPITAL SAO VICENTE DE PAULO;09124165/0001-40;00000000000;PB;11.520,00000;,00000;,00000;,00000;11.520,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010451943131719;;
F;N;00;010;279706;10/02/2026;30/01/2026;10/02/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;39.150,94000;1.930,94000;,00000;,00000;37.220,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2797067
F;N;00;010;279710;10/02/2026;30/01/2026;10/02/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;39.150,94000;1.930,94000;,00000;,00000;37.220,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2797107
F;N;00;010;279743;10/02/2026;31/01/2026;10/02/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;30.180,00000;,00000;,00000;,00000;30.180,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2797433
F;N;00;010;251358;10/02/2026;10/02/2026;10/02/2026;E;000045;UNI HOSPITALAR LTDA;07484373/0001-24;;PE;5.400,00000;,00000;,00000;,00000;5.400,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;001046;10/02/2026;10/02/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;21.150,00000;,00000;,00000;,00000;21.150,00000;21.150,00000;2.538,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010461738823113;;
C;N;00;001;001047;10/02/2026;10/02/2026;30/12/1899;S;000027;HOSPITAL WILSON ROSADO;35650324/0001-50;00000000000;RN;13.428,00000;,00000;,00000;,00000;13.428,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010471660007728;;
F;N;00;010;279975;11/02/2026;09/02/2026;11/02/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;12.000,00000;,00000;,00000;,00000;12.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;279975
C;N;00;001;001048;11/02/2026;11/02/2026;30/12/1899;S;000027;HOSPITAL WILSON ROSADO;35650324/0001-50;00000000000;RN;7.200,00000;,00000;,00000;,00000;7.200,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010481184441701;;
C;N;00;001;001049;11/02/2026;11/02/2026;30/12/1899;S;000651;CION CENTRO INTEGRADO DE ONCOLOGIA;04234637/0001-01;00000000000;PA;12.862,50000;1.543,50000;,00000;,00000;11.319,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010491095320655;;
C;N;00;001;001050;11/02/2026;11/02/2026;30/12/1899;S;000194;INSTITUTO DE ONCOLOGIA DO NORDESTE IONE;10988301/0009-86;00000000000;PE;4.237,00000;,00000;,00000;,00000;4.237,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010501097775944;;
F;N;00;010;251596;12/02/2026;12/02/2026;12/02/2026;E;000045;UNI HOSPITALAR LTDA;07484373/0001-24;;PE;600,00000;,00000;,00000;,00000;600,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
F;N;00;010;251682;12/02/2026;12/02/2026;12/02/2026;E;000045;UNI HOSPITALAR LTDA;07484373/0001-24;;PE;21.200,00000;,00000;,00000;,00000;21.200,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;001051;12/02/2026;12/02/2026;30/12/1899;S;000660;HOSPITAL NUCLEO VIDA;30360657/0001-20;00000000000;BA;4.790,90000;574,90000;,00000;,00000;4.216,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010511375306561;;
C;N;00;001;001052;12/02/2026;12/02/2026;30/12/1899;S;000038;FUND ASSIST DA PARAIBA - FAP;08841421/0001-57;00000000000;PB;3.752,00000;,00000;,00000;,00000;3.752,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010521901681030;;
C;N;00;001;001053;12/02/2026;12/02/2026;30/12/1899;S;000038;FUND ASSIST DA PARAIBA - FAP;08841421/0001-57;00000000000;PB;18.000,00000;,00000;,00000;,00000;18.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010531107022961;;
C;N;00;001;001054;12/02/2026;12/02/2026;30/12/1899;S;000174;SANTA CASA DE MISERICORDIA DE ITABUNA;14349740/0001-42;00000000000;BA;16.280,00000;,00000;,00000;,00000;16.280,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010541489616197;;
F;N;00;010;280071;13/02/2026;11/02/2026;13/02/2026;E;000023;EUROFARMA LABORATORIOS S.A.;61190096/0008-69;;SP;18.000,00000;,00000;,00000;,00000;18.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;2800714
F;N;00;010;018843;13/02/2026;10/02/2026;13/02/2026;E;000029;ACCORD FARMACEUTICA LTDA;64171697/0004-99;;SP;8.400,00000;,00000;,00000;,00000;8.400,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
C;N;00;001;001055;13/02/2026;13/02/2026;30/12/1899;S;000271;HOSPITAL SAMUR;16205262/0001-22;00000000000;BA;9.600,00000;,00000;,00000;,00000;9.600,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010551812427130;;
C;N;00;001;001056;13/02/2026;13/02/2026;30/12/1899;S;000683;INSTITUTO RIO BRANCO;28215273/0001-72;00000000000;PE;3.379,00000;,00000;,00000;,00000;3.379,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010561350705353;;
F;N;00;010;018849;19/02/2026;10/02/2026;19/02/2026;E;000029;ACCORD FARMACEUTICA LTDA;64171697/0004-99;;SP;14.000,00000;,00000;,00000;,00000;14.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;;;
F;N;00;010;234461;19/02/2026;10/02/2026;19/02/2026;E;000048;AGILLE MEDICAMENTOS;11697594/0003-10;;ES;12.000,00000;,00000;,00000;,00000;12.000,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;32260211697594000310550010002344611010632269;;234461
C;N;00;001;001057;19/02/2026;19/02/2026;30/12/1899;S;000003;FUNDACAO ANTONIO JORGE DINO;05292982/0001-56;00000000000;MA;4.094,40000;,00000;,00000;,00000;4.094,40000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010571349598821;;
C;N;00;001;001058;19/02/2026;19/02/2026;30/12/1899;S;000651;CION CENTRO INTEGRADO DE ONCOLOGIA;04234637/0001-01;00000000000;PA;3.342,00000;,00000;,00000;,00000;3.342,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010581364943353;;
C;N;00;001;001059;19/02/2026;19/02/2026;30/12/1899;S;000056;LIGA NORTE RIOGRANDENSE CONTRA O CA;08428765/0002-10;00000000000;RN;6.420,00000;,00000;,00000;,00000;6.420,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010591995972612;;
F;N;00;007;001060;20/02/2026;20/02/2026;20/02/2026;S;000048;AGILLE MEDICAMENTOS;11697594/0003-10;;ES;-2.880,00000;,00000;,00000;,00000;-2.880,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010601659904683;;
C;N;00;001;001061;20/02/2026;20/02/2026;30/12/1899;S;000016;HOSPITAL SAO RAFAEL LTDA;06413934/0001-31;00000000000;MA;5.380,00000;,00000;,00000;,00000;5.380,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010611380794222;;
C;N;00;001;001062;23/02/2026;23/02/2026;30/12/1899;S;000010;SEQUIPE SERVICO DE QUIMIOTERAPIA;12588547/0001-39;00000000000;PE;180,00000;,00000;,00000;,00000;180,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;,00000;26260229094796000170550010000010621379016596;;
